image_id,year,month,day,final_date
002334,2021,10,04,2021-10-04
002354,2021,10,22,2021-10-22
002359,2021,06,10,2021-06-10
002369,2022,01,16,2022-01-16
002394,2020,07,01,2020-07-01
002399,2021,09,18,2021-09-18
002409,2022,10,29,2022-10-29
002435,2021,06,03,2021-06-03
002440,2022,01,26,2022-01-26
002445,2021,01,16,2021-01-16
002450,2021,06,09,2021-06-09
002460,2021,11,30,2021-11-30
002470,2023,06,22,2023-06-22
002495,2021,01,27,2021-01-27
002500,2021,08,21,2021-08-21
002515,2022,02,16,2022-02-16
002530,2022,01,19,2022-01-19
002535,2021,12,04,2021-12-04
002570,2021,05,07,2021-05-07
002585,2023,11,04,2023-11-04
002620,2022,03,31,2022-03-31
002640,2021,12,04,2021-12-04
002645,2021,12,14,2021-12-14
002650,2021,07,01,2021-07-01
002655,2021,03,25,2021-03-25
002675,2021,03,23,2021-03-23
002680,2021,10,29,2021-10-29
002685,2021,07,28,2021-07-28
002695,2022,01,14,2022-01-14
002710,2021,10,28,2021-10-28
002715,2021,12,15,2021-12-15
002720,2026,01,09,2026-01-09
002735,2022,02,04,2022-02-04
002740,2021,12,18,2021-12-18
002750,2022,06,15,2022-06-15
002755,2021,05,16,2021-05-16
002760,2021,05,12,2021-05-12
002775,2021,10,08,2021-10-08
002790,2021,12,06,2021-12-06
002795,2021,03,18,2021-03-18
002805,2023,01,13,2023-01-13
002815,2021,06,28,2021-06-28
002820,2021,11,19,2021-11-19
002850,2021,08,15,2021-08-15
002856,2022,09,13,2022-09-13
002866,2022,02,28,2022-02-28
002881,2021,04,13,2021-04-13
002886,2022,01,04,2022-01-04
002891,2021,11,11,2021-11-11
002901,2022,08,03,2022-08-03
002906,2021,05,19,2021-05-19
002916,2022,09,15,2022-09-15
002921,2021,09,12,2021-09-12
002926,2021,11,06,2021-11-06
002931,2022,06,30,2022-06-30
002936,2021,11,11,2021-11-11
002941,2021,07,05,2021-07-05
002981,2021,12,17,2021-12-17
002986,2022,04,01,2022-04-01
002991,2021,03,20,2021-03-20
003016,2022,07,01,2022-07-01
003051,2020,12,19,2020-12-19
003056,2021,03,06,2021-03-06
003061,2022,03,05,2022-03-05
003071,2021,08,19,2021-08-19
003081,2021,12,02,2021-12-02
003096,2022,10,12,2022-10-12
003101,2022,11,21,2022-11-21
003111,2021,06,09,2021-06-09
003116,2021,12,29,2021-12-29
003156,2021,10,26,2021-10-26
003176,2021,04,30,2021-04-30
003181,2021,06,14,2021-06-14
003186,2021,10,21,2021-10-21
003191,2021,11,19,2021-11-19
003196,2022,11,05,2022-11-05
003201,2022,09,21,2022-09-21
003206,2021,04,13,2021-04-13
003216,2022,01,15,2022-01-15
003226,2022,01,29,2022-01-29
