image_id,filename,year,month,day,final_date,confidence,text_found,reason
2334,002334.jpg,2021,10,4,2021-10-04,high,21.10.04,병뚜껑에 명확하게 인쇄된 날짜를 추출함
2354,002354.jpg,2021,10,22,2021-10-22,high,21.10.22 T 까지,제품 하단 흰색 라벨에 '까지' 문구와 함께 날짜가 명확하게 인쇄되어 있음
2359,002359.jpg,2021,6,10,2021-06-10,high,2021.06.10까지,하단에 유통기한이 명확하게 표기되어 있음
2369,002369.jpg,2022,1,16,2022-01-16,high,2022.01.16,제품 하단에 유통기한으로 명시된 날짜
2394,002394.jpg,2020,7,1,2020-07-01,high,01 JUL 2020,이미지 상단에 'BEST WHEN USED BY DATE SHOWN' 문구와 함께 유통기한 날짜가 명확하게 인쇄되어 있습니다.
2399,002399.jpg,2021,9,18,2021-09-18,high,BBE: SEP 18 2021,뚜껑 바로 아래 병 상단에 BBE(Best Before) 날짜가 명확하게 인쇄되어 있음
2409,002409.jpg,2022,10,29,2022-10-29,high,EXP : 29.10.2022,EXP(소비기한) 항목에 명시된 날짜를 추출함
2435,002435.jpg,2021,6,3,2021-06-03,high,03.06.2021,이미지 하단에 명확하게 인쇄된 날짜가 확인됨
2440,002440.jpg,2022,1,26,2022-01-26,high,유통기한 2022.01.26,제품 중앙에 '유통기한' 문구와 함께 날짜가 명확하게 인쇄되어 있음
2445,002445.jpg,2021,1,16,2021-01-16,high,2021.01.16,상품 포장지에 '유통기한' 문구와 함께 날짜가 명확히 기재되어 있음
2450,002450.jpg,2021,6,9,2021-06-09,high,2021.06.09까지,유통기한으로 명시된 '까지' 날짜를 추출함
2460,002460.jpg,2021,11,30,2021-11-30,high,2021-11-30,제품 뒷면 하단에 '유통기한: 2021-11-30 까지'라고 명확히 기재되어 있음
2470,002470.jpg,2023,6,22,2023-06-22,high,Use By: 22.06.2023,뚜껑 상단에 Use By(소비기한) 날짜가 명확하게 인쇄되어 있음
2495,002495.jpg,2021,1,27,2021-01-27,high,2021.01.27까지,포장지 상단에 '까지'와 함께 명확하게 표기된 유통기한
